"role_id","role_code","permission"
1,"admin","ai:chat"
1,"admin","ai:manage"
1,"admin","analytics:view"
1,"admin","audit:view"
1,"admin","chat:access"
1,"admin","chat:send"
1,"admin","dashboard:unit"
1,"admin","document:create_task"
1,"admin","document:delete"
1,"admin","document:office_review"
1,"admin","document:send_to_leader"
1,"admin","document:submit_for_review"
1,"admin","document:view_unit"
1,"admin","report:view"
1,"admin","role:update_permissions"
1,"admin","role:view"
1,"admin","security:view_logs"
1,"admin","settings:update"
1,"admin","settings:view"
1,"admin","status:update"
1,"admin","status:view"
1,"admin","task:assign"
1,"admin","task:update"
1,"admin","task:view_own"
1,"admin","trash:delete_permanent"
1,"admin","trash:restore"
1,"admin","trash:view"
1,"admin","unit:create"
1,"admin","unit:delete"
1,"admin","unit:update"
1,"admin","user:create"
1,"admin","user:delete"
1,"admin","user:reset_password"
1,"admin","user:unlock"
1,"admin","user:update"
1,"admin","user:view"
2,"lanh_dao","ai:chat"
2,"lanh_dao","ai:manage"
2,"lanh_dao","analytics:view"
2,"lanh_dao","approve_level_2"
2,"lanh_dao","chat:access"
2,"lanh_dao","chat:send"
2,"lanh_dao","dashboard:leader"
2,"lanh_dao","dashboard:unit"
2,"lanh_dao","document:create_task"
2,"lanh_dao","document:read"
2,"lanh_dao","document:view_all"
2,"lanh_dao","report:view"
2,"lanh_dao","task:approve"
2,"lanh_dao","task:create"
2,"lanh_dao","task:delete"
2,"lanh_dao","task:update"
2,"lanh_dao","task:view_all"
2,"lanh_dao","task:view_unit"
2,"lanh_dao","trash:restore"
2,"lanh_dao","trash:view"
2,"lanh_dao","user:view"
3,"truong_phong","ai:chat"
3,"truong_phong","analytics:view"
3,"truong_phong","approve_level_1"
3,"truong_phong","chat:access"
3,"truong_phong","chat:send"
3,"truong_phong","dashboard:unit"
3,"truong_phong","document:office_review"
3,"truong_phong","document:read"
3,"truong_phong","document:send_to_leader"
3,"truong_phong","document:view_unit"
3,"truong_phong","report:view"
3,"truong_phong","subtask:create"
3,"truong_phong","task:approve"
3,"truong_phong","task:assign"
3,"truong_phong","task:update"
3,"truong_phong","task:view_unit"
3,"truong_phong","user:view"
4,"nhan_vien","ai:chat"
4,"nhan_vien","chat:access"
4,"nhan_vien","chat:send"
4,"nhan_vien","dashboard:own"
4,"nhan_vien","document:read"
4,"nhan_vien","document:submit_for_review"
4,"nhan_vien","document:view_related"
4,"nhan_vien","report:view"
4,"nhan_vien","task:submit"
4,"nhan_vien","task:update"
4,"nhan_vien","task:view_own"
5,"van_thu","document:create"
5,"van_thu","document:delete"
5,"van_thu","document:read"
5,"van_thu","document:submit_for_review"
5,"van_thu","document:update"
5,"van_thu","document:upload"
5,"van_thu","document:view"
5,"van_thu","document:view_all"
